origin_name,origin_code,destination_name,destination_code,value
Aruba,ABW,Sudan,SDN,0
Aruba,ABW,Senegal,SEN,0
Aruba,ABW,Singapore,SGP,0
Aruba,ABW,Solomon Islands,SLB,0
Aruba,ABW,Sierra Leone,SLE,0
Aruba,ABW,El Salvador,SLV,0
Aruba,ABW,Somalia,SOM,0
Aruba,ABW,Serbia,SRB,0
Aruba,ABW,South Sudan,SSD,0
Aruba,ABW,Sao Tome and Principe,STP,0
Aruba,ABW,Suriname,SUR,0
Aruba,ABW,Slovakia,SVK,0
Aruba,ABW,Slovenia,SVN,0
Aruba,ABW,Sweden,SWE,0
Aruba,ABW,Swaziland,SWZ,0
Aruba,ABW,Syria,SYR,0
Aruba,ABW,Chad,TCD,0
Aruba,ABW,Togo,TGO,0
Aruba,ABW,Thailand,THA,0
Aruba,ABW,Tajikistan,TJK,0
Aruba,ABW,Turkmenistan,TKM,0
Aruba,ABW,East Timor,TLS,0
Aruba,ABW,Tonga,TON,0
Aruba,ABW,Trinidad and Tobago,TTO,0
Aruba,ABW,Tunisia,TUN,0
Aruba,ABW,Turkey,TUR,0
Aruba,ABW,Tanzania,TZA,0
Aruba,ABW,Uganda,UGA,0
Aruba,ABW,Ukraine,UKR,0
Aruba,ABW,Uruguay,URY,0
Aruba,ABW,United States,USA,0
Aruba,ABW,Uzbekistan,UZB,0
Aruba,ABW,Saint Vincent and the Grenadines,VCT,0
Aruba,ABW,Venezuela,VEN,101
Aruba,ABW,Virgin Islands,VIR,0
Aruba,ABW,Vietnam,VNM,0
Aruba,ABW,Vanuatu,VUT,0
Aruba,ABW,Samoa,WSM,0
Aruba,ABW,Yemen,YEM,0
Aruba,ABW,South Africa,ZAF,0
Aruba,ABW,Zambia,ZMB,0
Aruba,ABW,Zimbabwe,ZWE,0
Afghanistan,AFG,Aruba,ABW,0
Afghanistan,AFG,Afghanistan,AFG,0
Afghanistan,AFG,Angola,AGO,0
Afghanistan,AFG,Albania,ALB,0
Afghanistan,AFG,United Arab Emirates,ARE,2094
Afghanistan,AFG,Argentina,ARG,0
Afghanistan,AFG,Armenia,ARM,0
Afghanistan,AFG,Australia,AUS,8885
Afghanistan,AFG,Austria,AUT,2175
Afghanistan,AFG,Azerbaijan,AZE,35
Afghanistan,AFG,Burundi,BDI,0
Afghanistan,AFG,Belgium,BEL,1068
Afghanistan,AFG,Benin,BEN,0
Afghanistan,AFG,Burkina Faso,BFA,0
Afghanistan,AFG,Bangladesh,BGD,0
Afghanistan,AFG,Bulgaria,BGR,136
Afghanistan,AFG,Bahrain,BHR,280
Afghanistan,AFG,Bahamas,BHS,0
Afghanistan,AFG,Bosnia and Herzegovina,BIH,0
Afghanistan,AFG,Belarus,BLR,133
Afghanistan,AFG,Belize,BLZ,0
Afghanistan,AFG,Bolivia,BOL,1
Afghanistan,AFG,Brazil,BRA,26
Afghanistan,AFG,Barbados,BRB,0
Afghanistan,AFG,Brunei,BRN,0
Afghanistan,AFG,Bhutan,BTN,0
Afghanistan,AFG,Botswana,BWA,0
Afghanistan,AFG,Central African Republic,CAF,0
Afghanistan,AFG,Canada,CAN,12270
Afghanistan,AFG,Switzerland,CHE,1247
Afghanistan,AFG,Channel Islands,CHI,0
Afghanistan,AFG,Chile,CHL,3
Afghanistan,AFG,China,CHN,0
Afghanistan,AFG,Ivory Coast,CIV,0
Afghanistan,AFG,Cameroon,CMR,0
Afghanistan,AFG,Democratic Republic of the Congo,COD,0
Afghanistan,AFG,Republic of Congo,COG,0
Afghanistan,AFG,Colombia,COL,36
Afghanistan,AFG,Comoros,COM,0
Afghanistan,AFG,Cape Verde,CPV,0
Afghanistan,AFG,Costa Rica,CRI,1
Afghanistan,AFG,Cuba,CUB,0
Afghanistan,AFG,Cyprus,CYP,3
Afghanistan,AFG,Czech Republic,CZE,326
Afghanistan,AFG,Germany,DEU,32852
Afghanistan,AFG,Djibouti,DJI,0
Afghanistan,AFG,Denmark,DNK,4478
Afghanistan,AFG,Dominican Republic,DOM,1
Afghanistan,AFG,Algeria,DZA,2
Afghanistan,AFG,Ecuador,ECU,33
Afghanistan,AFG,Egypt,EGY,34
Afghanistan,AFG,Eritrea,ERI,0
Afghanistan,AFG,Western Sahara,ESH,0
Afghanistan,AFG,Spain,ESP,0
Afghanistan,AFG,Estonia,EST,3
Afghanistan,AFG,Ethiopia,ETH,0
Afghanistan,AFG,Finland,FIN,1379
Afghanistan,AFG,Fiji,FJI,0
Afghanistan,AFG,France,FRA,1091
Afghanistan,AFG,Micronesia,FSM,0
Afghanistan,AFG,Gabon,GAB,0
Afghanistan,AFG,United Kingdom,GBR,13444
Afghanistan,AFG,Georgia,GEO,9
Afghanistan,AFG,Ghana,GHA,0
Afghanistan,AFG,Guinea,GIN,0
Afghanistan,AFG,Guadeloupe,GLP,0
Afghanistan,AFG,Gambia,GMB,0
Afghanistan,AFG,Guinea-Bissau,GNB,0
Afghanistan,AFG,Equatorial Guinea,GNQ,0
Afghanistan,AFG,Greece,GRC,62
Afghanistan,AFG,Grenada,GRD,0
Afghanistan,AFG,Guatemala,GTM,0
Afghanistan,AFG,French Guiana,GUF,0
Afghanistan,AFG,Guam,GUM,0
Afghanistan,AFG,Guyana,GUY,0
